lat,lon,city,country
37.53,127,Seoul,South Korea
37,127.5,Eumseong-gun,South Korea
35,105,Dingxi,China
23.5,121,Xinyi Township,Taiwan
54,-4.5,unkown,unkown
51.5,10.5,Steinrode,Germany
52.5,5.75,Dronten,The Netherlands
37.48,-122.21,Redwood City,United States
33.98,-118.45,Marina del Rey,United States
42.83,12.83,Meggiano,Italy
38.98,-77.39,Herndon,United States
-35.32,150.4,Croobyar,Australia
38.94,-77.35,Reston,United States
25.02,121.37,Guishan Township,Taiwan
-10,-55,Guaranta do Norte,Brazil
38.86,-77.26,Fairfax,United States
36,138,Kamiina District,Japan
43.7,-79.42,Toronto,Canada
35.75,139.5,Higashikurume,Japan
40,-4,Yunclillos,Spain
62,15,,Sweden
40.4,-74.11,Middletown Township,United States
33.93,-84.33,Dunwoody,United States
46,2,Saint-Sulpice-les-Champs,France
38,-98,Hutchinson,United States
42.58,-82.89,Mount Clemens,United States
33.03,-96.74,Plano,United States
47.33,13.33,,Austria
-25,135,Ghan,Australia
NaN,NaN,unkown,unkown
31.5,34.75,,Israel
39.58,-104.9,Centennial,United States
51.08,-114.08,Calgary,Canada
23,-102,San Francisco,Mexico
41.89,-87.62,Chicago,United States
42.38,-71.13,Cambridge,United States
47,8,Romoos,Switzerland
45,-93.26,Columbia Heights,United States
33.97,-118.25,Los Angeles,United States
39.75,-104.99,Denver,United States
33.75,-84.39,Atlanta,United States
22.25,114.17,Aberdeen,Hong Kong
39.92,116.43,Beijing,China
35.08,129.03,Busan,South Korea
37.32,-121.92,San Jose,United States
38.93,-77.17,McLean,United States
60,47,,Russia
37.76,-121.95,San Ramon,United States
45.5,-73.6,Montreal,Canada
34.15,-118.09,Pasadena,United States
62,10,,Norway
20,77,Gugal Pimpari,India
50.83,4,Ninove,Belgium
39,35,Paşalı,Turkey
39.5,-8,,Portugal
45.42,-75.72,Ottawa,Canada
36.32,127.42,Daejeon,South Korea
32.79,-96.8,Dallas,United States
51.5,-0.17,London,United Kingdom
48.87,2.33,Paris,France
27.94,-82.38,Tampa,United States
35,-93,Casa,United States
29.76,-95.36,Houston,United States
10.5,-66.92,Caracas,Venezuela
41.42,2.17,Barcelona,Spain
45.47,9.2,Milan,Italy
-34.67,-58.5,Buenos Aires,Argentina
49.22,-123.1,Vancouver,Canada
37.78,-122.42,San Francisco,United States
25.79,-80.32,Miami,United States
43,-75,Mohawk,United States
39,22,,Greece
33.84,-117.95,Anaheim,United States
31.31,-89.31,Hattiesburg,United States
37.32,-122.04,Cupertino,United States
32.72,-117.16,San Diego,United States
40.76,-73.52,Hicksville,United States
42.36,-71.07,Boston,United States
1.37,103.8,,Singapore
47.62,-122.34,Seattle,United States
42.9,-78.88,Buffalo,United States
39.11,-84.5,Cincinnati,United States
53.57,-113.42,Edmonton,Canada
37.47,126.63,Incheon,South Korea
40.82,-73.47,Woodbury,United States
55.75,37.7,Moscow,Russia
39.88,-105.1,Westminster,United States
35.12,126.87,Gwangju,South Korea
59.33,18.08,Stockholm,Sweden
40.73,-74,New York,United States
40.37,-74.64,Princeton,United States
33.45,-112.08,Phoenix,United States
-34,-64,,Argentina
15,100,Hankha,Thailand
42.65,-71.16,Andover,United States
48.22,16.37,Vienna,Austria
-30.95,-58.8,,Argentina
41.78,-78,Coudersport,United States
32.87,-96.99,Irving,United States
24.15,120.67,Xi District,Taiwan
