lat,lon,city,country
37.53,127,Seoul,South Korea
37,127.5,Eumseong-gun,South Korea
35,105,Dingxi,China
23.5,121,Xinyi Township,Taiwan
54,-4.5,unkown,unkown
51.5,10.5,Steinrode,Germany
52.5,5.75,Dronten,The Netherlands
37.48,-122.21,Redwood City,United States
33.98,-118.45,Marina del Rey,United States
42.83,12.83,Meggiano,Italy
38.98,-77.39,Herndon,United States
-35.32,150.4,Croobyar,Australia
38.94,-77.35,Reston,United States
25.02,121.37,Guishan Township,Taiwan
-10,-55,Guaranta do Norte,Brazil
38.86,-77.26,Fairfax,United States
36,138,Kamiina District,Japan
43.7,-79.42,Toronto,Canada
35.75,139.5,Higashikurume,Japan
40,-4,Yunclillos,Spain
62,15,unkown,Sweden
40.4,-74.11,Middletown Township,United States
33.93,-84.33,Dunwoody,United States
46,2,Saint-Sulpice-les-Champs,France
38,-98,Hutchinson,United States
42.58,-82.89,Mount Clemens,United States
33.03,-96.74,Plano,United States
47.33,13.33,unkown,Austria
-25,135,Ghan,Australia
NaN,NaN,unkown,unkown
31.5,34.75,unkown,Israel
39.58,-104.9,Centennial,United States
51.08,-114.08,Calgary,Canada
23,-102,San Francisco,Mexico
41.89,-87.62,Chicago,United States
42.38,-71.13,Cambridge,United States
47,8,Romoos,Switzerland
45,-93.26,Columbia Heights,United States
33.97,-118.25,Los Angeles,United States
39.75,-104.99,Denver,United States
33.75,-84.39,Atlanta,United States
22.25,114.17,Aberdeen,Hong Kong
39.92,116.43,Beijing,China
35.08,129.03,Busan,South Korea
37.32,-121.92,San Jose,United States
38.93,-77.17,McLean,United States
60,47,unkown,Russia
37.76,-121.95,San Ramon,United States
45.5,-73.6,Montreal,Canada
34.15,-118.09,Pasadena,United States
62,10,unkown,Norway
20,77,Gugal Pimpari,India
50.83,4,Ninove,Belgium
39,35,Paşalı,Turkey
39.5,-8,unkown,Portugal
45.42,-75.72,Ottawa,Canada
36.32,127.42,Daejeon,South Korea
32.79,-96.8,Dallas,United States
51.5,-0.17,London,United Kingdom
48.87,2.33,Paris,France
27.94,-82.38,Tampa,United States
35,-93,Casa,United States
29.76,-95.36,Houston,United States
10.5,-66.92,Caracas,Venezuela
41.42,2.17,Barcelona,Spain
45.47,9.2,Milan,Italy
-34.67,-58.5,Buenos Aires,Argentina
49.22,-123.1,Vancouver,Canada
37.78,-122.42,San Francisco,United States
25.79,-80.32,Miami,United States
43,-75,Mohawk,United States
39,22,unkown,Greece
33.84,-117.95,Anaheim,United States
31.31,-89.31,Hattiesburg,United States
37.32,-122.04,Cupertino,United States
32.72,-117.16,San Diego,United States
40.76,-73.52,Hicksville,United States
42.36,-71.07,Boston,United States
1.37,103.8,unkown,Singapore
47.62,-122.34,Seattle,United States
42.9,-78.88,Buffalo,United States
39.11,-84.5,Cincinnati,United States
53.57,-113.42,Edmonton,Canada
37.47,126.63,Incheon,South Korea
40.82,-73.47,Woodbury,United States
55.75,37.7,Moscow,Russia
39.88,-105.1,Westminster,United States
35.12,126.87,Gwangju,South Korea
59.33,18.08,Stockholm,Sweden
40.73,-74,New York,United States
40.37,-74.64,Princeton,United States
33.45,-112.08,Phoenix,United States
-34,-64,unkown,Argentina
15,100,Hankha,Thailand
42.65,-71.16,Andover,United States
48.22,16.37,Vienna,Austria
-30.95,-58.8,unkown,Argentina
41.78,-78,Coudersport,United States
32.87,-96.99,Irving,United States
24.15,120.67,Xi District,Taiwan
36.17,-86.78,Nashville,United States
39.98,-105.15,Louisville,United States
-33.92,151.17,St Peters,Australia
35.87,128.6,Daegu,South Korea
32.89,-117.2,San Diego,United States
42.94,-71.52,Bedford,United States
31,-92,Cottonport,United States
4,-72,Puerto Gaitan,Colombia
38.92,-77.4,Herndon,United States
28.54,-81.37,Orlando,United States
38.94,-77.22,McLean,United States
52.35,4.9,Amsterdam,The Netherlands
-35.3,149.13,Parkes,Australia
30.27,-97.74,Austin,United States
41.32,-72.93,New Haven,United States
51.52,7.45,Dortmund,Germany
47.38,8.55,Zurich,Switzerland
46.25,15.17,Žalec,Slovenia
32.33,-115.2,unkown,Mexico
36.18,-115.16,Las Vegas,United States
41.89,-87.64,Chicago,United States
37.34,-121.89,San Jose,United States
-33.45,-70.67,Santiago,Chile
40.69,-74.02,New York,United States
2.5,112.5,Sibu,Malaysia
38.66,-90.46,St. Louis,United States
34.67,135.5,Osaka,Japan
59.93,10.75,Oslo,Norway
-12.05,-77.05,Breña,Peru
32.79,-96.83,Dallas,United States
48.13,11.58,Munich,Germany
40.42,-3.72,Madrid,Spain
32.97,-96.88,Carrollton,United States
42.36,-71.05,Boston,United States
22.6,120.28,Qijin District,Taiwan
41.5,-100,Anselmo,United States
33.69,-117.8,Irvine,United States
29.74,-95.47,Houston,United States
53.33,-6.25,Dublin,Ireland
40.83,-76,Tamaqua,United States
52.53,13.42,Berlin,Germany
39.73,-105.03,Denver,United States
49,32,Krymky,Ukraine
47.5,19.05,Budapest,Hungary
1.28,103.85,unkown,Singapore
23.02,120.23,Yongkang District,Taiwan
47.99,-122.2,Everett,United States
3.17,101.7,Kuala Lumpur,Malaysia
13.73,100.5,Bangkok,Thailand
41.53,-72.8,Meriden,United States
37,-119,Shaver Lake,United States
40.76,-73.99,New York,United States
42.11,-88.04,Palatine,United States
43.16,-77.61,Rochester,United States
35.76,-78.78,Cary,United States
22.28,114.15,Mid-level,Hong Kong
51.43,-0.63,unkown,United Kingdom
50.1,8.68,Frankfurt,Germany
43.07,-88.15,Brookfield,United States
38.53,-106,Salida,United States
49,-76.83,unkown,Canada
42.98,-88.09,New Berlin,United States
27,30,unkown,Egypt
-36.92,174.78,Auckland,New Zealand
27.99,-82.78,Clearwater,United States
39,-105,Woodland Park,United States
55.47,-4.63,Ayr,United Kingdom
-42,174,Clarence,New Zealand
50.1,14.43,Prague,Czech Republic
38.65,-90.54,Chesterfield,United States
40.43,-74.41,East Brunswick,United States
40.02,-83.06,Upper Arlington,United States
34.85,-82.41,Greenville,United States
25.2,-99.83,Montemorelos,Mexico
44.98,-93.28,Minneapolis,United States
47,20,Kocsér,Hungary
30.6,-96.31,College Station,United States
24.8,120.98,Dong District,Taiwan
18.57,73.97,Pune,India
40.76,-111.9,Salt Lake City,United States
